date,country,metric,spotify,currency,apple,youtube,previous,change_pct,source_url,flag
2026-09-25,AE,Platinum price,59.99,AED,,,,,https://www.spotify.com/ae-en/premium/,
2026-09-25,AE,Individual price,23.99,AED,,,,,https://www.spotify.com/ae-en/premium/,
2026-09-25,AE,Student price,12.99,AED,,,,,https://www.spotify.com/ae-en/premium/,
2026-09-25,AE,Promo offers,0,,,,,,https://www.spotify.com/ae-en/premium/,
2026-09-25,AU,Duo price,22.99,AUD,,,,,https://www.spotify.com/au/premium/,
2026-09-25,AU,Family price,27.99,AUD,,,,,https://www.spotify.com/au/premium/,
2026-09-25,AU,Individual price,15.99,AUD,,,,,https://www.spotify.com/au/premium/,
2026-09-25,AU,Student price,7.99,AUD,,,,,https://www.spotify.com/au/premium/,
2026-09-25,AU,Promo offers,0,,,,,,https://www.spotify.com/au/premium/,
2026-09-25,BE,Duo price,19.99,EUR,,,,,https://www.spotify.com/be-fr/premium/,
2026-09-25,BE,Family price,23.99,EUR,,,,,https://www.spotify.com/be-fr/premium/,
2026-09-25,BE,Individual price,13.99,EUR,,,,,https://www.spotify.com/be-fr/premium/,
2026-09-25,BE,Student price,6.99,EUR,,,,,https://www.spotify.com/be-fr/premium/,
2026-09-25,BE,Trial months,1,,,,,,https://www.spotify.com/be-fr/premium/,
2026-09-25,BE,Promo offers,2,,,,,,https://www.spotify.com/be-fr/premium/,
2026-09-25,BR,Duo price,31.9,BRL,,,,,https://www.spotify.com/br-pt/premium/,
2026-09-25,BR,Family price,40.9,BRL,,,,,https://www.spotify.com/br-pt/premium/,
2026-09-25,BR,Individual price,23.9,BRL,23.9,,,,https://www.spotify.com/br-pt/premium/,
2026-09-25,BR,Student price,12.9,BRL,,,,,https://www.spotify.com/br-pt/premium/,
2026-09-25,BR,Trial months,1,,,,,,https://www.spotify.com/br-pt/premium/,
2026-09-25,BR,Promo offers,2,,0,,,,https://www.spotify.com/br-pt/premium/,
2026-09-25,CA,Duo price,19.99,CAD,,,,,https://www.spotify.com/ca-en/premium/,
2026-09-25,CA,Family price,23.99,CAD,19.99,,,,https://www.spotify.com/ca-en/premium/,
2026-09-25,CA,Individual price,13.99,CAD,11.99,,,,https://www.spotify.com/ca-en/premium/,
2026-09-25,CA,Student price,6.39,CAD,5.99,,,,https://www.spotify.com/ca-en/premium/,
2026-09-25,CA,Trial months,1,,,,,,https://www.spotify.com/ca-en/premium/,
2026-09-25,CA,Promo offers,2,,3,,,,https://www.spotify.com/ca-en/premium/,
2026-09-25,CH,Duo price,21.95,CHF,,,,,https://www.spotify.com/ch-de/premium/,
2026-09-25,CH,Family price,26.95,CHF,24.9,,,,https://www.spotify.com/ch-de/premium/,
2026-09-25,CH,Individual price,15.95,CHF,14.9,,,,https://www.spotify.com/ch-de/premium/,
2026-09-25,CH,Student price,8.95,CHF,8.9,,,,https://www.spotify.com/ch-de/premium/,
2026-09-25,CH,Trial months,1,,,,,,https://www.spotify.com/ch-de/premium/,
2026-09-25,CH,Promo offers,2,,0,,,,https://www.spotify.com/ch-de/premium/,
2026-09-25,CO,Duo price,24.5,COP,,,,,https://www.spotify.com/co-es/premium/,
2026-09-25,CO,Family price,30.5,COP,,,,,https://www.spotify.com/co-es/premium/,
2026-09-25,CO,Individual price,18.5,COP,18.5,,,,https://www.spotify.com/co-es/premium/,suspect Spotify price (unit/parsing?); suspect Apple price
2026-09-25,CO,Student price,10.1,COP,,,,,https://www.spotify.com/co-es/premium/,suspect Spotify price (unit/parsing?)
2026-09-25,CO,Trial months,1,,,,,,https://www.spotify.com/co-es/premium/,
2026-09-25,CO,Promo offers,2,,0,,,,https://www.spotify.com/co-es/premium/,
2026-09-25,DE,Duo price,17.99,EUR,,,,,https://www.spotify.com/de/premium/,
2026-09-25,DE,Family price,21.99,EUR,19.99,,,,https://www.spotify.com/de/premium/,
2026-09-25,DE,Individual price,12.99,EUR,11.99,,,,https://www.spotify.com/de/premium/,
2026-09-25,DE,Student price,6.99,EUR,6.99,,,,https://www.spotify.com/de/premium/,
2026-09-25,DE,Promo offers,0,,0,,,,https://www.spotify.com/de/premium/,
2026-09-25,DK,Duo price,169,DKK,,,,,https://www.spotify.com/dk/premium/,
2026-09-25,DK,Family price,199,DKK,199,,,,https://www.spotify.com/dk/premium/,
2026-09-25,DK,Individual price,119,DKK,119,,,,https://www.spotify.com/dk/premium/,
2026-09-25,DK,Student price,65,DKK,65,,,,https://www.spotify.com/dk/premium/,
2026-09-25,DK,Promo offers,0,,0,,,,https://www.spotify.com/dk/premium/,
2026-09-25,EG,Individual price,79,EGP,,,,,https://www.spotify.com/eg-en/premium/,
2026-09-25,EG,Student price,39,EGP,,,,,https://www.spotify.com/eg-en/premium/,
2026-09-25,EG,Promo offers,0,,,,,,https://www.spotify.com/eg-en/premium/,
2026-09-25,ES,Duo price,16.99,EUR,,,,,https://www.spotify.com/es/premium/,
2026-09-25,ES,Family price,20.99,EUR,19.99,,,,https://www.spotify.com/es/premium/,
2026-09-25,ES,Individual price,11.99,EUR,11.99,,,,https://www.spotify.com/es/premium/,
2026-09-25,ES,Student price,6.49,EUR,6.99,,,,https://www.spotify.com/es/premium/,
2026-09-25,ES,Promo offers,0,,0,,,,https://www.spotify.com/es/premium/,
2026-09-25,FR,Duo price,17.2,EUR,,,,,https://www.spotify.com/fr/premium/,
2026-09-25,FR,Family price,21.24,EUR,19.99,,,,https://www.spotify.com/fr/premium/,
